Service Description,Service Classification
Wikipedia2Cartoon is a free film generator that allows users to create movies convert webpages and wikipedia articles into cartoon talk shows. The files have smaller file sizes; an hour-long high quality cartoon only will only be several megabytes. The Wikipedia2Cartoon API uses REST calls and allows users to submit webpages through a URL to turn them into cartoons. An account is required with service.,Video
"PingPal is a communication API for web and native app developers, providing end-to-end user communication, as well as app to server, in feature-sets. The API allows for integrating chat or VoIP solutions and a privacy protected positioning service in applications.",Messaging
Skycore is a mobile marketing solutions provider that offers its users both SMS (Short Message Service) and MMS (Multimedia Message Service) capabilities via REST API. Users can also create message templates that are automatically customized for the recipient. The Skycore API includes methods for sending and receiving messages as well as for getting delivery reports on previously sent messages.,Advertising
"SMS Broadcast is an Australian SMS provider. One noteworthy feature of the service is that users are not charged for any undeliverable SMS messages. Users can integrate SMS Broadcast's capabilities into their own applications using the SMS Broadcast API for no additional charge. Possible uses for the API include providing notifications to customers, verifying customers' phone numbers, sending SMS to end users when they log in, and simply sending and receiving messages.",Messaging
"Silverstreet is a company that offers high volume SMS over more than 800 networks. Their Mobile Connect program allows users to integrate bulk SMS services into their existing technology via REST or SMPP API. These APIs let users customize how they send and receive SMS and can even return real-time status reports for previously sent messages. Customizable features of the service include the format of SMS messages, ringtones, logos, and more.",Messaging
"Sparrow SMS is based in Nepal and can act as a messaging gateway into the country for global enterprises. Developers can use the Sparrow SMS REST API to send SMS over four of the country's major mobile networks, receive SMS from mobile devices, get a mobile phone's number and operator, and view the status of previously sent message.",Messaging
"Voxox is a company that provides communication services over mobile devices and PCs. They offer a variety of VoIP telephony services, including SIP Trunks, hosted PBX, carrier services, and SMS messaging. The Voxox API provides developers with methods for sending, receiving, and tracking the status of SMS messages programmatically via REST calls.",Messaging
"Youphoric is a group of IT experts who create a variety of projects and services together, including the Youphoric SMS API. This is a messaging service that allows users to create applications that can send and receive SMS. The Youphoric API provides methods for sending SMS, handling incoming SMS, and sending scheduled push messages via REST calls.",Messaging
"DogeChain is the official blockchain for Dogecoin, a form of cryptocurrency. The DogeChain API allows developers to retrieve much of the information available on the website via REST calls. For a given address, user's can retrieve validity, amounts sent or received, public key hashes, and version prefixes. Users can also retrieve the current block number, the last solved block's difficulty, the transactions for the last blocks, statistics about difficulty and network power, and the total amount of currency ever mined.",Financial
"Adbeat is a service that furnishes users with useful information on other peoples' ad campaigns. It can find the top display ads for over 50,000 publishers, find site-specific ad copy, uncover other advertisers' online strategies, and capture insights with its reporting. The Adbeat API enables developers to access this information for use in their own applications and services via REST calls.",Advertising
"The Trogsoft Postcode API allows developers to access and integrate the data of Trogsoft Postcode. Some example API methods include returning UK postcodes in latitude and longitude, calculating the distance between postcodes, and retrieving the distance between latitude and longitude.",Mapping
"CallRail is a phone call tracking, recording, and analytics service that helps companies understand which marketing sources are driving phone calls online and offline. The CallRail API provides access to data about calls placed through the CallRail call tracking platform. Some example API methods include listing calls, retrieving call information, and retrieving company information.",Telephony
"The Global Names Resolver is a service that resolves lists of scientific names against known sources. The resolver parses incoming names, executes matching as required, and displays a confidence score for each match, along with its identifier. The Global Names Resolver API allows developers to programmatically resolve names against either specified data sources or against the entire database.",Science
"796 Xchange is a platform for buying and selling Bitcoins. The website also gives members access to Bitcoin mining stocks and MtGox daily/weekly futures. 796 Xchange provides several APIs that return ticker information, market depth, and trade history for BTC Futures, 796Xchange-MRI, ASICMINER-796, and BTC-DICE-796. The 796 Xchange also provides API methods for checking the Bitcoin price index history, getting account information, and performing trades.",Financial
"The MessageBird Messaging API allows developers to send and receive SMS messages to and from any country in the world. Each message is identified by a unique random ID so that users can always check the status of a message using the given endpoint. MessageBird is a cloud communications platform that connects users to their global customers via fast and reliable SMS, Voice and Chat APIs.",Telephony
"EASY MARKETING is an automated online advertising service that has been optimized for Google, Google Shopping, Facebook, and eBay. It is designed to clearly and accurately show how many new customers it brings in, the cost per new customer acquired, and the number of new customers acquired over time. The EASY MARKETING API allows users to retrieve information on a shop's products or product categories, track sales and leads, create a Facebook 'like' button, or push a product to EASY MARKETING for a special promotion. Developers can also embed ad campaign performance data, analysis pages, and quick charts on webpages using iFrames. The website is entirely in German, but the API documentation is in English.",Advertising
"Yodlee is a financial service provider that serves banks and financial services firms. The service aims to provide a full financial picture of consumers to optimize sales and solutions to best suit customer needs. The Yodlee Interactive API is a REST based service that allows third-party applications to interact with the Yodlee platform to create and manipulate customer data. The API can be used to categorize transactions, reduce fraud, drive activation, enable new FinApps, and grow a user base. An account is required with service.",Financial
"The Veterans Affairs Facilities API is a Veterans Affairs (VA) service capable of programmatically delivering summary information about VA facilities. The SOAP web service is capable of searching for facilities by state, region, or facility ID, and returns structured data including facility ID, name, type, region, and state.",Government
"Performance Horizon is a brand marketing management service that provides dashboards, and reports to advertisers, agencies, and publishers who operate marking campaigns around the globe. The API uses REST calls and returns XML and JSON. An account is required with service, and an API Key and SSL are used for access and authentication. The Performance Horizons API provides users with access to the dashboard and report functionality of the Performance Horizon platform, as well as other aspects of the site.",Advertising
"LaCuenta is an invoicing service used to create and manage custom invoices with on computers or iPads. Users can scan products, manage stock and print receipts with the integrated point of sales system. The LaCuenta API uses REST calls, returns JSON, and allows users to get API keys, interact with printers, create documents, create customers, and perform other calls. An account is required with service.",Financial
InvoiceOnline is a an invoicing service designed for small business that also offers a customer database feature. The InvoiceOnline API allows users to integrate the invoicing service into third-party applications. The service uses REST calls and returns JSON. An account is required with service.,Financial
"Ronin is a time tracking and invoice service designed for small businesses and freelance workers. Ronin manages clients, projects, invoices and estimates. The RoninApp API provides programmatic access to account data through REST calls and a returns JSON or JSONP. An account is required with service, and SSL is used for authentication.",Financial
"iCount is a business invoicing service that helps users and businesses manage billing and invoicing. The iCount API is a REST based API that uses SSL as authentication, and facilitates the integration of third-party applications and sites with the iCount platform. An account is required with service. The site is in hebrew.",Financial
"SmallInvoice is an invoice servce designed for small and medium sized businesses, as well as freelance workers. The base service is free to use, and additional tiers of service are available. The SmallInvoice API uses REST calls and allows users to perform tasks involving user accounts and invoices. Sample calls include creating invoices, submitting invoices, accepting offers, drafting receipts, and other calls. An account is required with service.",Financial
"Imonggo is a web-based point of sale service that provides inventory management, sales analysis, and business intelligence. The Imonggo API allows users to integrate third party applications and website with the Imonggo platform. The API provides primary resources for access such as: products, customers, invoices, documents, and inventories. The API uses REST calls, returns XML, and uses SSL for authentication. An account is required with service.",eCommerce
"The Department of Veterans Affairs (VA) Press Release API queries the VA press release database, allowing 3rd party applications and websites to collect and display Hey VA and VA press releases.",Government
"The Nationwide Gravesite Locations API is a data.gov web service providing programmatic access to gravesite locations of U.S. veterans and beneficiaries. This data is provided by a variety of sources, meaning some results contain more information than others. The API is able to return structured data fields such as name, birth or death date, and detailed cemetery information.",Government
Statistics of Income (SOI) County-to-County Migration Data is a dataset exposed by Data.gov. The data describes year-to-year address changes between counties and states as reported on individual tax returns. Migration data is exposed through two distinct methods. The Inflow method returns data on the number of new residents in a county or state and where those residents migrated from. The Outflow method returns data on the number of residents leaving a county or state and where they went. Both methods are able to return the total gross income of the migrants.,Government
"The Annual Production Figures of United States Currency API is a service of the Bureau of Engraving and Printing (BEP), a bureau of the U.S. Department of the Treasury. The API details the number of $1, $5, $10, $20, $50, $100 notes printed each year back to 1980.",Government
"The Bureau of Land Management (BLM) General Land Office (GLO) provides access to Federal land conveyance records, including image access to records between 1820 to the present. GLO exposes these records through a SOAP web service. The API exposes information describing Federal Land Patents, survey plats, field notes, and Land Status Records.",Government
The U.S. Department of Housing and Urban Development (HUD) exposes information on certain HUD related agencies and businesses through a RESTful API. The API allows developers to programmatically search for information describing both Housing Counseling Agencies and Section 3 Businesses. This freely accessible API returns JSON formatted responses.,Government
"PublicStuff is an application that allows neighborhoods, residents, and government officials connect. PublicStuff offers features and data for various civic applications. The PublicStuff API allows developers to access and integrate the functionality and data of PublicStuff with other applications and to create new applications. Some example API methods include managing user accounts, retrieving lists, and managing comments.",Government
"Cloud Lending Inc provides technology to assist small and medium sized business to manage loan and investment portfolio for lending institutions. The Cloud Lending Inc platform allows creation of extensions for various industry verticals (eg Auto, P2P, Mortgage and Micro-Finance). The Cloud Lending Inc API allows users to integrate with the Lending Core and makes it possible to fully integrate the P2PFlex with an external website. The API lets users provide current loan information to both borrowers and investors. The API can also use the API to create investor and borrower dashboards on the website.",Financial
Mifos is an organization comprised of microfinance institutions and IT and business professionals who work to expand the technological capacity of micro-lending networks to increase their impact around the world. The Mifos API allows users programmatic access to the Mifos platform through REST calls. An account is required with service.,Financial
"The Trademark Status and Document Retrieval API is a service of the United States Patent and Trademark Office. The API allows 3rd party applications to query data and documents related to trademarks. The API is able to search by serial, reference, or registration number.",Government
"FuelEconomy.gov is the official U.S. government source for fuel economy information. The site features an API that enables developers to programmatically query vehicle fuel efficiency data for a given make, model, and year. This RESTful API is able to deliver emission records, MPG data, and much more.",Transportation
"agINFRA is an Agricultural Data Infrastructure funded by the European Commission. It is designed to connect publicly available agricultural data resources from around the world and make them easily accessible to users from a unified location. The agINFRA API allows users to perform job monitoring, dataset transformation, text mining, and data harvesting functions on such resources.",Science
"Instantor allows users to quickly and securely certify their identities and credit ratings for online loan applications and purchases using the log-in information for their regular financial institution. Instantor uses the same security measures as leading financial institutions to protect users' data, and no one at Instantor can access users' login information, change any information, or make transactions from users' accounts. The Instantor website is available in English and Swedish.",Financial
"RBL Watcher allows users to check and monitor IP addresses against 77 Real-time Blackhole Lists (RBLs). These are lists of IP addresses linked to activities such as spamming. Developers can use the RBL Watcher API to retrieve all of the IP addresses they're watching and, of those, the ones that are blacklisted and the ones that are not blacklisted. They can also add or remove an IP address from their watchlist or retrieve details on a given IP address.",Tools
"OnlineNIC is an internet services provider that offers SSL, domain name, reseller hosting and other services. The OnlineNIC API allows users to Order SSL, Cancel SSL, Reissue SSL, Change Approver Email, Resend Approver Email, Resend Fulfillment Email. An account is required with service and the API information is available by contacting OnlineNIC or accessing the user control panel after log in.",Tools
"TinyPNG is a file compression service that reduces the files size of PNG images and preserves full alpha transparency. The TinyPNG API uses REST calls, returns JSON, and allows users to make calls that submit images to be compressed. The API required SSL and an API key for use. Base level usage is free for 500 calls, upper tier pricing is $100 per month for 50,000 image submissions. An account is required with service.",Tools
"Nexternal is an eCommerce platform that helps customers engage customers, manage orders, and more. The Nexternal XML Tools API allows 3rd party systems to integrate the Nexternal platform and synchronize data. The API is able to export order or product information, deliver shipping and inventory information, create or update orders, manage customer information, or return shopping cart data.",eCommerce
"National Priorities Project is a national non-partisan research organization that aims to make the federal budget information transparent and accessible so people can prioritize and influence how their tax dollars are spent. The National Priorities API allows users to make REST calls to access national, and regional data within multiple government data categories. No account is required with services.",Government
"SportTracks is a fitness tracking service that aims to work with as many devices, applications, sensors, and web services as possible. It can pull users' fitness data from their fitness tracking devices and applications, bringing it all together in one location. SportTracks focuses on delivering clear and useful data for fitness training rather than on social networking. SportTracks is designed to meet the needs of runners, swimmers, and cyclists; support for other athletes is being added continuously.",Sports
WorldCoin Price Ticker is a free service that provides the current average WorldCoin price. WorldCoin is a cryptocurrency similar to Bitcoin. The Price Ticker website provides the exchange rates between WorldCoin and Bitcoin and between WorldCoin and U.S. dollars. These prices are updated once per minute.,Financial
The Xaddress service allows users to identify the geographic location of an IP address down to the city level. Users can access Xaddress's functions directly using the web interface or programmatically via REST calls in either JSON or XML format. Xaddress is a free service that uses GeoLite data created by MaxMind.,Mapping
"The United Nations Development Programme's (UNDP's) Human Development Reports focus on metrics such as information access, good nutrition and health services, job security, safety from crime and violence, quality leisure time, and political freedom. All of the data for the Human Development Report is contained in 14 statistical tables, which are accessible programmatically via REST calls.",Government
"API Rates allows users to retrieve information on Forex (foreign exchange market), stocks, and commodities from a cloud-based, shared, or dedicated instance of the service. All instances parse, store, and provide access to real-time prices via JSON API. Data provided by the service is valid data from the markets, but it is not licensed and is intended primarily for testing purposes. Customization of the service is available upon request.",Financial
"WeChat is a social messaging application that works across different and multiple platforms. WeChat offers instant messaging, chat, video calls, and voice chats. The WeChat API and SDK allow developers to access and integrate the functionality of WeChat with other applications. Some example API methods include managing users, managing accounts, and retrieving lists of chats and calls.",Social
"Face++ is a facial recognition and detection service that provides detection, recognition and analysis for use in applications. The Face++ API provides the detection and analysis of facials including two subsets of 23, and 81 points, as well as, age, gender, glasses, race, and others. The API uses REST calls and returns JSON, an account is required with services. Users can make calls to train the program, detect faces, recognize faces, group faces, manipulate people, create face sets, create groups, and get info.",Tools
"iSpot.tv is a real-time TV advertising metrics service. iSpot.tv provides various TV advertising features for publishers, advertisers, and developers to access real-time TV advertising metrics. The iSpot.tv API allows developers to access and integrate the functionality of iSpot.tv with other applications. Public documentation is not available; API access comes with account service.",Advertising
"CoinPayments is a checkout system for cryptocurrencies such as Bitcoin and Litecoin. Customers click on a link or button on the user's website and get directed to the CoinPayments checkout page to make the payment. Once the transaction is complete, CoinPayments sends the payment to the user, minus transaction fees. Users are notified of every step of the process via Instant Payment Notification (IPN) or polling. The CoinPayments API is designed to allow users to easily integrate the checkout system into their own websites.",Payments
"SMSS South Africa is a service that allows users to send out text, Unicode, binary, and Flash messages. White-label bulk SMS services are available to enterprise customers. The SMSS South Africa API provides programmatic access to the service's SMS gateway via REST or SMPP calls, allowing users to SMS-enable their websites and applications.",Messaging
"Mayorfirst SMS is a web-based messaging service for sending invitations, notifications, advertisements, etc. Developers can access the Mayorfirst SMS messaging gateway using a RESTful API. This allows users to integrate the ability to send messages and check their account balances into their own websites and applications. Mayorfirst SMS also provides a RESTful API for resellers.",Messaging
"Trustev is an online fraud detection and prevention solution. Trustev allows merchants to verify online shoppers and their payments to prevent and eliminate credit card and online fraud. The Trustev API allows developers to access and integrate the functionality of Trustev with other applications. Some example API methods include managing user profiles, managing transactions, and retrieving profile and transaction information.",Security
"ShrinkTheWeb offers a website to screenshot service. The PagePix API allows users to utilize a URL to Image service that does screen captures on a single or automated basis. The API uses REST calls and returns screenshots. An account is required with service, and users can use an API Key and SSL for authentication. When submitting API calls, users will receive a",Tools
Mapillary uses crowdsourced photos to map different parts of the world. Users can take photos with their mobile devices and upload the photos to the Mapillary website. Mapillary is currently in public Beta. The Mapillary API allows users to use latitude and longitude coordinates to search for and retrieve information on images and sequences of images.,Mapping
"Microco.sm is a service for building modern, good-looking forums. The service is designed to handle the technical aspects of forum creation and management on the user's behalf, allowing them to customize their sites easily. Microco.sm forums support more than just posts and threads; they can also handle events, classifieds, reviews, articles, Q&A, polls, and more. All Microco.sm forums are compatible with mobile devices.",Social
"Digital River provides worldwide marketing, e-commerce, and payment services. The Digital River Connect APIs provide users with access to the features of its Global Commerce platform. With the Shopper API, users can interact with stores and products hosted on the platform. The Usage-Based Billing API manages the life cycles of usage-based billing products, but this is still under construction. Access to these two APIs is mediated by the OAuth API, which provides authorization services for third-party applications.",eCommerce
"5yMail allows users to send anonymous emails using an alias of their choice. Recipients may even reply to emails, and the user can engage in conversation without giving away their identity. Once an email is sent, the sender will receive a receipt of confirmation. Users can access 5yMail's functions programmatically via REST API.",Email
"MG-RAST is a metagenomics analysis server, which is designed to provide quantitative information on microbial populations based on genetic sequence data. The server contains over 100,000 data set, which are mainly derived from shotgun samples of prokaryotic organisms. They provide their over 12,000 registered users with upload, quality control, annotation, and analysis services. Users can access objects and resources on the server programmatically via REST API.",Science
"Elmah.io is an error tracking service that allows users to log errors in the cloud. Users can easily search through their error logs via advanced search capabilities, and the level of access that individual users have can be altered based on their role. Elmah.io lets users hide bugs that have already been fixed; preventing them from cluttering up the log, but not actually deleting the information. All data is replicated to prevent any accidental data loss. Elmah.io is designed for mobile accessibility, and it integrates readily with popular issue trackers.",Tools
"CHAIN-REDS is a project for promoting access to globally distributed digital resources such as data, services, storage, and tools. Users can access the more than 22 million open access resources contained within the CHAIN-REDS Knowledge Base through the Semantic Search Engine. These resources cover a wide variety of subjects such as geology, anatomy, data science, and medicine. Users may also access the Semantic Search Engine using the CHAIN-REDS REST API.",Reference
"MarineTraffic provides data on millions of daily vessel positions, which users may integrate with their applications or websites using the RESTful API. Users can also get the most recent arrivals and departures for a given port or vessel, all of a vessel's AIS positions, or a popular photo of a vessel to display in their app.",Travel
"TheCurrencyCloud is an international payment provider that provides payment, conversion, and exchange services. TheCurrencyCloud API allows users to make REST calls to get access to the API, execute a currency trade, create and maintain payment beneficiaries, make international payments, access exchange rate information, and group settled trades. The API will have access account management and contact information in the future. An account is required with service.",Financial
"Worldwide-FXC is a currency conversion service that provides users with up-to-date currency conversion, a currency exchange finder, and the Worldwide-FXC currency exchange API. The API uses Javascript and can be integrated to show exchange rates on third-party websites. No account is required to use, and the API is free to use as long as the terms of service are observed.",Financial
"MobileMinerApp allows users to monitor and control bitcoin, litecoin, and other cryptocurrency mining rigs remotely. The MobileMinerApp API uses REST calls, returns JSON, and allows users to query for mining statistics as well as execute commands to the pool. Users must obtain an API key for use.",Financial
"Bitlab is an ope-source bitcoin company that designs scalable web services for businesses. Bitlab also provides a bitcoin wallet. The Bitlab API utilizes Firebase to allow uses to create a new account, log in, get a current deposit address, generate a new address, send a payment, get a notification, and watch an account.",Financial
"Tykli is a data search and data organization service that uses Semantic Web and Big Data technologies to provide solutions for information retrieval and knowledge management. Tykli's proprietary graph analysis algorithm analyzes and processes relationships among data, providing a new data order with concepts indexing and semantic network generation. Tykli service are available via a REST API. API methods include Term, Categories, Linked, Connected, Related, and Search. An API key is required.",Search
"Based in Kenya, Lipisha offers a payment platform for businesses that enables them to collect, process and integrate payments from customers and clients using mobile money such as M-Pesa or Airtel Money. The Lipisha API allows developers to integrate with the Lipisha payments system. The API carries out a number of activities including creating a new payment account, querying for transactions, Sending mobile money, charge a credit or debit card, transferring funds between different Lipisha accounts, and more.",Payments
"Uptime.ly is a application management service that allows users to create public or private application status pages. Uptime.ly completes up-time monitoring processes by providing a unified communications platform for IT and help desk teams that reports up-time status to application end users. Uptime.ly offers a REST API for programmatic access to data. API resouces include Company, Application, Service components, Templates, Users, Subscribers, UserProfile, PostTypes, and more. Authentication is provided using HTTP Basic Authentication over SSL. Data is transferred using JSON.",Tools
"Launch.ly is an easy to use platform for launching an online business. Websites can be published in minutes and launch.ly's advanced publishing and e-commerce tools help to grow the business. Launch.ly offers a REST API for programmatic access to Launch.ly services. API methods include Exchange rate, Navigation, Price check and Pay. Responses are returned in JSON.",eCommerce
"Conekta is an online payment platform for Latin American businesses that enables them to process online payments using both online and offline methods. Conekta can be used for any type of transaction such as selling physical products, charging for a service, taking donations, or enabling marketplaces for third parties. Conekta offers a REST API that provides Merchants and Marketplaces an easy way to start accepting payments through a website or application. API methods include Charges, Customers, Cards, Subscriptions, Plans and Events. All responses are in JSON, but sessions can be configured to receive responses in XML. An API key is required.",Payments
"Barrio.mx is a guide to the best places to eat, drink, shop and relax in Tijuana, Rosarito and Ensenada Mexico. Reviews are written by locals who are in the know about all the best places. The guide contains accurate location listings that have been personally confirmed by a member of the Barrio.mx staff. The Barrio.mx REST API allows developers to integrate accurate, up-to-date location information from the Barrio.mx guide. Use the API to search for businesses or landmarks, receive information on a location and get pictures of specific locations. Responses are returned in JSON.",Travel
"CityPay is an online payment service that offers a secure payment gateway, enabling merchants to accept payments from a range of environments, from mobile phones and web browsers through to fully integrated solutions. The CityPay PayPOST API is RESTful payment API used for server to server transactional processing. Merchants can use the API to integrate CityPay payment services into their own applications. The API provides a number of payment mechanisms including fraud protection, preauthorization, and Internet, MOTO, CA transaction processing. The API provides data in XML or JSON.",Payments
"Signifyd is an e-commerce fraud prevention service. It can identify devices uniquely and use a customer's IP address to determine their location, even detecting when customers are using proxies to spoof their IP addresses. Signifyd can learn about customers from their social activity and past behaviors and use public records to perform reverse lookups on addresses, names, and phone numbers. Signifyd can use the BIN (Bank Identification Number) of a credit card, debit card, pre-paid card, or gift card to identify the issuing institution and its location. The service can also find out how many orders a customer is attempting across multiple merchants and use cross-industrial blacklists to identify fraudulent users before they can make purchases.",Security
"We Heart It is a photo-based social networking application. We Heart It allows users to discover and share images, photos, and content with their friends and followers. The We Heart It API allows developers to access and integrate the functionality of We Heart It with other applications. Public documentation is not available; interested developers should request API access by emailing partners@weheartit.com.",Social
"42matters provides a searchable Android app database that contains over 500,000 apps. This database is available in free and enterprise editions via API to those who want to help their users find new apps. The free version is for non-commercial use only and requires an attribution link. The enterprise edition allows for more customization and daily requests.",Search
"Achta is a company based in Ireland that offers cloud based SEPA services for IBAN validation, mandate management, and credit transfers. Achta has extensive experience in advising corporations on cash management payment solutions and how those solutions can be integrated into existing business processes. Achta offers a realtime payment validation API for their Achtavate service, a cloud based, SEPA-ready payment solution. The API performs IBAN Validation, converts SortCodes and account numbers, checks BIC codes, and validates other payments reference data to ensure SEPA-compliance. An account with service it required.",Financial
"Exchange Rate Lab is an exchange rate service that allows users to convert between currencies on the website, or integrate the interface into third-party apps for use in merchant shops and other applications. The Exchange rate Lab API allows users to lookup and perform currency conversions. The API supports JSON and JSONP, while using REST calls. The queried datasets updated hourly. An API Key is required with service.",Financial
"Scrape.it is a screen scraping service designed to allows users to pull information from websites that done make it readily available programmatically. The Scrape.it API allows users to make REST calls that submit a URL and return JSON formatted data that has been scraped from the URL. The API allows for two queries to be made: scrape, and advanced scrape. An account is required with service and pricing ranges from freemium up to $2000 per month.",Tools
Codebox is a cloud-based Integrated Development Environment (IDE) that can run on all kinds of platforms and devices. The IDE gives users the power of a full Ubuntu terminal inside their browsers. Users can edit code collaboratively in real time or code offline and have the code sync up when the device reconnects to the internet. Codebox is highly customizable; it provides an add-on system for users who want to build additional features and APIs for accessing data from the IDE.,Tools
"Exciting is a studio that develops a variety of digital projects. One of these is Printer, in which users are shown how to build small printers that connect to the internet, create custom content for those printers, and share that content with people who have similar small printers. The Exciting Printer API allows users to preview and print content programmatically via REST calls.",Tools
"Okta is an enterprise-level solution for centrally storing and managing user profiles and identity data. It enables single sign-on authentication across multiple applications and deviceseven when they are behind firewalls or in the cloudand makes it easier for IT personnel to access essential employee information. Okta can also store user data in different schemas depending whether the user is an employee, manager, customer, or contractor. Developers can programmatically access user profile data stored with Okta via REST API.",Security
"Tipalti is a mass payment service. Tipalti allows businesses to pay out vendors, employees, and others globally via multiple methods from ACH to PayPal to wire transfer. The Tipalti API allows developers to access and integrate the functionality of Tipalti with other applications. Public documentation is not available; API access comes with account service.",Payments
"Rainforest QA is a website testing service. Rainforest QA allows website publishers and developers to create and run functionality and bug tests for their websites across multiple browsers. The Rainforest QA API allows developers to access and integrate the functionality of Rainforest QA with other applications. Some example API methods include running tests, receiving test results, and managing tests.",Tools
PaeDae is an advertising solution that turns ads for applications into engaging and rewarding experiences for application users. Advertisers can use PaeDae to place ads in applications and developers can use it to integrate ads into their applications for monetization and user engagement. The PaeDae API allows developers to access and integrate the functionality of PaeDae with other applications. Public documentation is not available; interested developers should sign up here: http://paedae.com/developers/.,Advertising
"The NWCC (National Water and Climate Center) is a US government organization created to develop information and technology resources on snow, water, climate, and hydrology. The NWCC provides the Air-Water Database (AWDB) API, which allows users to retrieve data, metadata, 30-year normals, and water availability forecasts via SOAP calls.",Science
"Copernica is a service for creating, running, and tracking email and SMS marketing campaigns. It can help users collect information on contacts using web forms and surveys and then send mailings out to all recipients on file. Users may also filter recipients by interest, purchase, or activity. Copernica can set up automated, targeted, multichannel campaigns containing a series of personalized messages. Detailed statistics are provided for each mailing sent out. Copernica comes with a variety of generic integrations, but users may also create custom integrations using the Copernica SOAP API.",Email
"Hitchwiki is a collaboratively sourced site for information about hitchhiking and other cheap forms of transportation. Hitchwiki includes a map with geolocated notes from hitchhikers, describing their experience hitchhiking in a given spot. The Hitchwiki Maps API provides developer access to map data. Applications can programmatically access information on particular locations or retrieve a list of places that meet a specified criteria. Default information includes latitude, longitude, elevation, rating, and other geographic details.",Mapping
"Science Ipsum is a science themed placeholder text generator. The service is exposed through a simple API. Developers simply specify the number of paragraphs, and optionally the number of words per paragraph, and the API returns the requested text.",Science
"Wurl is a video streaming service designed to provide app-makers with access to high-quality video from publishers around the world. Wurl scans the internet for free, professionally-produced content to add to their index. They don't collect either user-generated or pirated videos. Wurl is a white-label service, which allows app-makers to deliver content from their own platforms, under their own brands. The Wurl API allows developers to set up browse and search interfaces, retrieve video metadata, and play videos through their apps.",Video
"FedBrain is a an economic data aggregator. The FedBrain data is acquired from public domain sources, such as the CIA, International Monetary Fund, World Bank, and the U.S. Federal Reserve Banks. The Country-by-country economic data is updated once per year and the U.S. Federal Reserve data is updated every 2 hours, every day of the year. An account is required with service, and API key is used for authentication, and the API is currently free to use. The API uses REST calls.",Financial
"Yieldkit is an asset and website monetization service that works through both companies and an affiliate network. The Yieldkit API uses Javascript, allows for more advanced integration, and is designed for big websites with special integration needs, Content Networks, Traffic Networks, Mobile Apps, Cashback Systems and Coupon Sites. An account is required with service, and an API key is used for authentication.",Advertising
"Agile CRM is a customer relationship management (CRM) service geared toward small businesses. It helps users manage individual contacts using tags, a lead scoring system, event tracking, and timelines. Users can implement automated campaigns across multiple channels (e.g. email, phone, social networks). Agile CRM's analytics and sentiment-tracking services can tell the user what's working and what isn't. Agile CRM is able to integrate with other websites and apps using plug-ins or its API.",Enterprise
Bug Analytics is an Android crash reporting tool that can be integrated with applications with a single line of code. The service tracks and reports on crashes providing analytics and issue tracking. An account is required with service and tiered pricing begins at $9 per month. The API includes a feature to save app status before a crash is reported.,Tools
Luxcloud is a channel centric marketplace. The LuxCloud marketplace contains a Cloud Service Layer (CSL). CSL provides neutrality across the various cloud services' platforms allowing sales partners to add one or multiple cloud services to platform instances. LuxCloud CSL provides developers with access to the LuxCloud services' platform. CSL gives customers and resellers the possibility to use and manage their services and to create services on the LuxCloud platform and follow a provisioning process. Prospective partners can also view more information here: http://www.luxcloud.com/WHMCS-module/hosted-exchange-mail,Tools
"Adzuna is a UK based job, property and car advertising service. The Adzuna API allows users to incorporate Adzuna's up-to-the-minute employment data to power user websites, and perform reporting and data visualizations. The API allows users to query to get ads, get employment information, get categories, and check which version is currently being used. The API uses REST calls, and returns JSON, JSONP, or XML. An account and API Key are required with service.",Advertising
"Evergreen is a asset-backed digital currency that allows users to exchange euros for evergreens, and use them as payment. The evergreens are exchanged at a 6:1 ratio with Euros, and are backed by a basket of currencies and environmental investments. The Evergreen API uses REST calls and returns JSON. Users can make calls to interface between mobile apps and websites to manipulates wallets containing evergreens. An account is required with service.",Payments
"Offline Geolocation allows cellphones to derive a location without being connected to the internet or data networks. The service is designed as a failover system when a user has no Internet connection, due to roaming or coverage issues, and GPS has not been turned on, or is not available indoors. The Offline Geolocation developer kit allows users to access a global database of mobile phone cell tower locations, along with data such as MCC, MNC, LAC and cellid information. The service is free to use.",Telephony
"Deskero is a brandable customer support desk that comes with native integrations for Twitter, Facebook, Google+, LinkedIn, and YouTube. It uses a multi-channel ticket system, which allows Deskero to accept tickets from a wide range of sources. Once collected, tickets can be organized into areas or groups and tagged with custom labels. Deskero also enables users to establish a knowledge base that customers can browse for solutions to their issues. Deskero's reporting features include 20 kinds graphic reports; users can create custom reports if they prefer.",Enterprise
"MercadoLibre is an e-commerce platform for Latin American countries. The platform covers all aspects of online retail, including building an online store, offering a range of products and services for sale, advertising those products and services, and sending and receiving payments online. MercadoLibre offers a RESTful API for integrating the various aspects of its platform into custom applications.",eCommerce
